x,y
-336.1764766,0.417222157
11906.35365,0.634552647
6022.624613,0.710231818
6729.396318,1.12919903
2962.367805,1.14951672
-7360.539461,1.395772228
-11642.09685,1.564596462
-18375.37785,1.76272519
-4299.628847,2.114919473
2524.2778,2.300901218
9217.825603,2.386370841
13268.48865,2.407804767
24102.74888,2.546301894
30772.36698,2.662769968
34761.51563,2.682032938
21671.53758,2.844727931
12723.40012,3.305222838
19011.68888,3.305530538
24092.86523,3.566482584
14170.48095,3.778270187
20258.48693,4.029926001
26407.96775,4.112056172
31694.55923,4.700707907
42595.19909,4.847715028
38307.14316,4.931278412
29740.4721,5.222268383
23624.72483,5.473460094
11383.47486,5.847852338
15681.30631,5.892543875
4642.475771,5.94471982
-2404.506922,6.051572199
-12518.89095,6.159017008
-17528.07521,6.440152168
79.84158698,6.450306265
-23007.03344,6.460437848
-5746.834753,6.469618813
-11874.5945,6.563206892
-23275.52448,6.705454545
-30699.3639,6.80089119
-36576.64678,6.846158459
-42676.84458,6.898910233
-50491.9151,6.989674886
-57379.77909,7.07609857
-84218.44441,7.191487826
-70296.2086,7.201300246
-77469.30083,7.201476134
-90964.43254,7.222899144
-63546.1009,7.223937756
-57370.62937,7.377678322
-68341.25874,7.443020979
-49434.96503,7.493594406
-59188.81119,7.523132867
-46269.38186,7.656249792
-39701.88825,7.697684213
-30565.38176,7.840077979
-26189.80448,7.898672299
-15865.73427,7.921902098
-4404.087341,7.988505666
-8139.123448,8.083607455
-11577.62238,8.18193007
-16025.42097,8.447220692
-13977.62238,8.69393007
-10641.49219,8.838726254
-15183.21678,8.876531469
-17391.26714,9.101887185
-13659.29568,9.307111052
-16360.83916,9.426125874
-19412.97956,9.613336353
-26086.71329,9.822657343
-31321.29109,9.9368333
-25109.82296,9.994560405
-22394.40559,10.26573427
-18329.07788,10.41916037
-12071.56907,10.68638353
-8581.702575,11.03023462
-5071.083203,11.31098935
-17432.16783,11.37029371
-10111.88811,11.41236364
-32361.75487,11.43696893
-25606.64576,11.52522491
-19469.34431,11.55682408
-15574.82517,11.73862937
-10445.74711,11.89471861
-3969.230769,12.00402797
-4697.540788,12.18737603
2555.465677,12.36886168
8995.33283,12.46061843
14963.33983,12.57078287
21111.31868,12.74246942
24320.98309,12.99857253
17460.04723,13.13166547
23277.68455,13.44092655
28845.0583,13.5968883
22966.47681,13.88214411
23633.56643,14.15272727
28888.36378,14.1650562
17854.12429,14.27746674
12162.31683,14.45646303
5128.311416,14.61859194
3840.592318,15.09929236
3613.986014,15.49583217
3564.683888,15.95102909
